"nF","ipf","total_items","rep","alpha","beta","pattern","mcc_pattern_z15"
8,6,48,2,3,0.3,"clean",NA
8,6,48,2,3,0.3,"random",0.1513
8,6,48,2,3,0.3,"longstring",0.1525
8,6,48,2,3,0.3,"pure_straight",0.2166
8,6,48,2,3,0.3,"acquiescent",0.1455
8,6,48,2,3,0.3,"mixed",0.0508
8,6,48,2,3,0.5,"clean",NA
8,6,48,2,3,0.5,"random",0.1397
8,6,48,2,3,0.5,"longstring",0.1408
8,6,48,2,3,0.5,"pure_straight",0.2
8,6,48,2,3,0.5,"acquiescent",0.1641
8,6,48,2,3,0.5,"mixed",0.0386
8,6,48,2,3,0.8,"clean",NA
8,6,48,2,3,0.8,"random",0.1164
8,6,48,2,3,0.8,"longstring",0.1174
8,6,48,2,3,0.8,"pure_straight",0.1667
8,6,48,2,3,0.8,"acquiescent",0.1293
8,6,48,2,3,0.8,"mixed",0.0116
8,6,48,2,3,1,"clean",NA
8,6,48,2,3,1,"random",0.0969
8,6,48,2,3,1,"longstring",0.0978
8,6,48,2,3,1,"pure_straight",0.1387
8,6,48,2,3,1,"acquiescent",0.1387
8,6,48,2,3,1,"mixed",0.0412
8,6,48,2,3,1.5,"clean",NA
8,6,48,2,3,1.5,"random",0.0738
8,6,48,2,3,1.5,"longstring",0.0738
8,6,48,2,3,1.5,"pure_straight",0.1057
8,6,48,2,3,1.5,"acquiescent",0.1057
8,6,48,2,3,1.5,"mixed",0.0738
8,6,48,3,0,0.3,"clean",NA
8,6,48,3,0,0.3,"random",0.1277
8,6,48,3,0,0.3,"longstring",0.0615
8,6,48,3,0,0.3,"pure_straight",-0.248
8,6,48,3,0,0.3,"acquiescent",-0.0341
8,6,48,3,0,0.3,"mixed",0.1164
8,6,48,3,0,0.5,"clean",NA
8,6,48,3,0,0.5,"random",0.1277
8,6,48,3,0,0.5,"longstring",0.0615
8,6,48,3,0,0.5,"pure_straight",-0.248
8,6,48,3,0,0.5,"acquiescent",-0.0341
8,6,48,3,0,0.5,"mixed",0.1164
8,6,48,3,0,0.8,"clean",NA
8,6,48,3,0,0.8,"random",0.1277
8,6,48,3,0,0.8,"longstring",0.0615
8,6,48,3,0,0.8,"pure_straight",-0.248
8,6,48,3,0,0.8,"acquiescent",-0.0341
8,6,48,3,0,0.8,"mixed",0.1164
8,6,48,3,0,1,"clean",NA
8,6,48,3,0,1,"random",0.1277
8,6,48,3,0,1,"longstring",0.0615
8,6,48,3,0,1,"pure_straight",-0.248
8,6,48,3,0,1,"acquiescent",-0.0341
8,6,48,3,0,1,"mixed",0.1164
8,6,48,3,0,1.5,"clean",NA
8,6,48,3,0,1.5,"random",0.1277
8,6,48,3,0,1.5,"longstring",0.0615
8,6,48,3,0,1.5,"pure_straight",-0.248
8,6,48,3,0,1.5,"acquiescent",-0.0341
8,6,48,3,0,1.5,"mixed",0.1164
8,6,48,3,0.5,0.3,"clean",NA
8,6,48,3,0.5,0.3,"random",0.1277
8,6,48,3,0.5,0.3,"longstring",0.0615
8,6,48,3,0.5,0.3,"pure_straight",-0.0699
8,6,48,3,0.5,0.3,"acquiescent",-0.0341
8,6,48,3,0.5,0.3,"mixed",0.1164
8,6,48,3,0.5,0.5,"clean",NA
8,6,48,3,0.5,0.5,"random",0.1277
8,6,48,3,0.5,0.5,"longstring",0.0615
8,6,48,3,0.5,0.5,"pure_straight",-0.0699
8,6,48,3,0.5,0.5,"acquiescent",0.0018
8,6,48,3,0.5,0.5,"mixed",0.1164
8,6,48,3,0.5,0.8,"clean",NA
8,6,48,3,0.5,0.8,"random",0.1256
8,6,48,3,0.5,0.8,"longstring",0.0594
8,6,48,3,0.5,0.8,"pure_straight",-0.0737
8,6,48,3,0.5,0.8,"acquiescent",-0.0018
8,6,48,3,0.5,0.8,"mixed",0.1144
8,6,48,3,0.5,1,"clean",NA
8,6,48,3,0.5,1,"random",0.1194
8,6,48,3,0.5,1,"longstring",0.053
8,6,48,3,0.5,1,"pure_straight",-0.0852
8,6,48,3,0.5,1,"acquiescent",-0.0127
8,6,48,3,0.5,1,"mixed",0.1088
8,6,48,3,0.5,1.5,"clean",NA
8,6,48,3,0.5,1.5,"random",0.1094
8,6,48,3,0.5,1.5,"longstring",0.1006
8,6,48,3,0.5,1.5,"pure_straight",-0.1056
8,6,48,3,0.5,1.5,"acquiescent",-0.0316
8,6,48,3,0.5,1.5,"mixed",0.0997
8,6,48,3,1,0.3,"clean",NA
8,6,48,3,1,0.3,"random",0.1277
8,6,48,3,1,0.3,"longstring",0.0615
8,6,48,3,1,0.3,"pure_straight",0.1464
