"nF","ipf","total_items","rep","alpha","beta","mcc_z15","mcc_oracle"
16,6,96,5,2.5,0.8,0.3892,0.5487
16,6,96,5,2.5,1,0.3803,0.5328
16,6,96,5,2.5,1.5,0.3522,0.5057
16,6,96,5,3,0.3,0.4203,0.5815
16,6,96,5,3,0.5,0.4076,0.5792
16,6,96,5,3,0.8,0.3892,0.5602
16,6,96,5,3,1,0.38,0.5273
16,6,96,5,3,1.5,0.3448,0.4795
30,6,180,1,0,0.3,0.7624,0.8019
30,6,180,1,0,0.5,0.7624,0.8019
30,6,180,1,0,0.8,0.7624,0.8019
30,6,180,1,0,1,0.7624,0.8019
30,6,180,1,0,1.5,0.7624,0.8019
30,6,180,1,0.5,0.3,0.7624,0.8019
30,6,180,1,0.5,0.5,0.7785,0.8019
30,6,180,1,0.5,0.8,0.7785,0.8112
30,6,180,1,0.5,1,0.7671,0.8112
30,6,180,1,0.5,1.5,0.7671,0.8112
30,6,180,1,1,0.3,0.7785,0.8019
30,6,180,1,1,0.5,0.7785,0.8112
30,6,180,1,1,0.8,0.7671,0.8112
30,6,180,1,1,1,0.7671,0.8112
30,6,180,1,1,1.5,0.7721,0.8112
30,6,180,1,1.5,0.3,0.7785,0.8019
30,6,180,1,1.5,0.5,0.7785,0.8112
30,6,180,1,1.5,0.8,0.7671,0.8112
30,6,180,1,1.5,1,0.7721,0.8112
30,6,180,1,1.5,1.5,0.7935,0.8112
30,6,180,1,2,0.3,0.7785,0.8019
30,6,180,1,2,0.5,0.7785,0.8112
30,6,180,1,2,0.8,0.756,0.8112
30,6,180,1,2,1,0.7881,0.8112
30,6,180,1,2,1.5,0.7832,0.8112
30,6,180,1,2.5,0.3,0.7785,0.8019
30,6,180,1,2.5,0.5,0.7785,0.8112
30,6,180,1,2.5,0.8,0.7881,0.8112
30,6,180,1,2.5,1,0.804,0.8112
30,6,180,1,2.5,1.5,0.7636,0.8112
30,6,180,1,3,0.3,0.7785,0.8019
30,6,180,1,3,0.5,0.7671,0.8112
30,6,180,1,3,0.8,0.7881,0.8112
30,6,180,1,3,1,0.7832,0.8112
30,6,180,1,3,1.5,0.8112,0.8112
30,6,180,2,0,0.3,0.7671,0.7828
30,6,180,2,0,0.5,0.7671,0.7828
30,6,180,2,0,0.8,0.7671,0.7828
30,6,180,2,0,1,0.7671,0.7828
30,6,180,2,0,1.5,0.7671,0.7828
30,6,180,2,0.5,0.3,0.7671,0.7828
30,6,180,2,0.5,0.5,0.7671,0.7828
30,6,180,2,0.5,0.8,0.7828,0.7828
30,6,180,2,0.5,1,0.7828,0.7828
30,6,180,2,0.5,1.5,0.7828,0.7828
30,6,180,2,1,0.3,0.7671,0.7828
30,6,180,2,1,0.5,0.7828,0.7828
30,6,180,2,1,0.8,0.7828,0.7984
30,6,180,2,1,1,0.7828,0.7984
30,6,180,2,1,1.5,0.7984,0.7984
30,6,180,2,1.5,0.3,0.7671,0.7828
30,6,180,2,1.5,0.5,0.7828,0.7984
30,6,180,2,1.5,0.8,0.7984,0.7987
30,6,180,2,1.5,1,0.7984,0.8025
30,6,180,2,1.5,1.5,0.7764,0.8025
30,6,180,2,2,0.3,0.7828,0.7828
30,6,180,2,2,0.5,0.7828,0.7984
30,6,180,2,2,0.8,0.7984,0.7987
30,6,180,2,2,1,0.7984,0.814
30,6,180,2,2,1.5,0.787,0.8036
30,6,180,2,2.5,0.3,0.7828,0.7828
30,6,180,2,2.5,0.5,0.7828,0.7987
30,6,180,2,2.5,0.8,0.7984,0.814
30,6,180,2,2.5,1,0.8028,0.814
30,6,180,2,2.5,1.5,0.7833,0.814
30,6,180,2,3,0.3,0.7828,0.7828
30,6,180,2,3,0.5,0.7984,0.814
30,6,180,2,3,0.8,0.8139,0.814
30,6,180,2,3,1,0.792,0.814
30,6,180,2,3,1.5,0.765,0.8139
30,6,180,3,0,0.3,0.7557,0.7714
30,6,180,3,0,0.5,0.7557,0.7714
30,6,180,3,0,0.8,0.7557,0.7714
30,6,180,3,0,1,0.7557,0.7714
30,6,180,3,0,1.5,0.7557,0.7714
30,6,180,3,0.5,0.3,0.7557,0.7714
30,6,180,3,0.5,0.5,0.7557,0.7714
30,6,180,3,0.5,0.8,0.7557,0.7714
30,6,180,3,0.5,1,0.7557,0.7714
30,6,180,3,0.5,1.5,0.7557,0.7714
30,6,180,3,1,0.3,0.7557,0.7714
30,6,180,3,1,0.5,0.7557,0.7714
30,6,180,3,1,0.8,0.7557,0.7714
30,6,180,3,1,1,0.7606,0.7714
30,6,180,3,1,1.5,0.7658,0.7714
30,6,180,3,1.5,0.3,0.7557,0.7714
30,6,180,3,1.5,0.5,0.7557,0.7714
30,6,180,3,1.5,0.8,0.7715,0.7857
30,6,180,3,1.5,1,0.75,0.7857
30,6,180,3,1.5,1.5,0.7556,0.7857
30,6,180,3,2,0.3,0.7557,0.7714
30,6,180,3,2,0.5,0.7557,0.7715
30,6,180,3,2,0.8,0.7606,0.7857
30,6,180,3,2,1,0.7658,0.7857
30,6,180,3,2,1.5,0.7714,0.7857
30,6,180,3,2.5,0.3,0.7557,0.7714
30,6,180,3,2.5,0.5,0.7557,0.7714
30,6,180,3,2.5,0.8,0.75,0.7857
30,6,180,3,2.5,1,0.7556,0.7857
30,6,180,3,2.5,1.5,0.7425,0.7715
30,6,180,3,3,0.3,0.7557,0.7714
30,6,180,3,3,0.5,0.7557,0.7714
30,6,180,3,3,0.8,0.7658,0.7857
30,6,180,3,3,1,0.7714,0.7857
30,6,180,3,3,1.5,0.7158,0.7714
30,6,180,4,0,0.3,0.7289,0.7433
30,6,180,4,0,0.5,0.7289,0.7433
30,6,180,4,0,0.8,0.7289,0.7433
30,6,180,4,0,1,0.7289,0.7433
30,6,180,4,0,1.5,0.7289,0.7433
30,6,180,4,0.5,0.3,0.7289,0.7518
30,6,180,4,0.5,0.5,0.7289,0.7433
30,6,180,4,0.5,0.8,0.7289,0.7518
30,6,180,4,0.5,1,0.7289,0.7518
30,6,180,4,0.5,1.5,0.7178,0.7523
30,6,180,4,1,0.3,0.7289,0.7518
30,6,180,4,1,0.5,0.7289,0.7523
30,6,180,4,1,0.8,0.7178,0.7523
30,6,180,4,1,1,0.7071,0.7523
30,6,180,4,1,1.5,0.6966,0.7523
30,6,180,4,1.5,0.3,0.7289,0.7518
30,6,180,4,1.5,0.5,0.7289,0.7523
30,6,180,4,1.5,0.8,0.7071,0.7604
30,6,180,4,1.5,1,0.6966,0.7604
30,6,180,4,1.5,1.5,0.704,0.7604
30,6,180,4,2,0.3,0.7289,0.7518
30,6,180,4,2,0.5,0.7289,0.7604
30,6,180,4,2,0.8,0.6966,0.7604
30,6,180,4,2,1,0.6966,0.7604
30,6,180,4,2,1.5,0.7115,0.7604
30,6,180,4,2.5,0.3,0.7289,0.7523
30,6,180,4,2.5,0.5,0.7289,0.7604
30,6,180,4,2.5,0.8,0.6966,0.7604
30,6,180,4,2.5,1,0.704,0.7604
30,6,180,4,2.5,1.5,0.7362,0.7604
30,6,180,4,3,0.3,0.7289,0.7523
30,6,180,4,3,0.5,0.7289,0.7604
30,6,180,4,3,0.8,0.6966,0.7604
30,6,180,4,3,1,0.704,0.7604
30,6,180,4,3,1.5,0.7351,0.7604
30,6,180,5,0,0.3,0.7288,0.8063
30,6,180,5,0,0.5,0.7288,0.8063
30,6,180,5,0,0.8,0.7288,0.8063
30,6,180,5,0,1,0.7288,0.8063
