experiment,size,rate,scenario,split,features,mcc,f1,auc,sens,spec,thr,n_tr,n_te,rate_te,direction,size_test,split_name,test_patterns
A1_cross_rep,50.0,0.4,A,0.0,full,0.5375629851029173,0.6351039260969976,0.9065550363447559,0.8566978193146417,0.775,0.16,3045,1521,0.21104536489151873,,,,
A1_cross_rep,50.0,0.4,A,0.0,triad,0.47217539429401045,0.5893060295790671,0.8851531671858773,0.8068535825545171,0.7508333333333334,0.16,3045,1521,0.21104536489151873,,,,
A1_cross_rep,50.0,0.4,A,0.0,norr,0.48527178533860005,0.5997666277712952,0.8706022845275182,0.8006230529595015,0.7675,0.155,3045,1521,0.21104536489151873,,,,
A1_cross_rep,50.0,0.4,A,1.0,full,0.5034134770465338,0.6100917431192661,0.9021525600835946,0.8338557993730408,0.7608333333333334,0.165,3047,1519,0.21000658327847269,,,,
A1_cross_rep,50.0,0.4,A,1.0,triad,0.4737195278811751,0.591283863368669,0.8814158829676071,0.786833855799373,0.7675,0.16524999999999865,3047,1519,0.21000658327847269,,,,
A1_cross_rep,50.0,0.4,A,1.0,norr,0.4696952304122344,0.5886524822695035,0.8656844305120167,0.780564263322884,0.7683333333333333,0.165,3047,1519,0.21000658327847269,,,,
A1_cross_rep,50.0,0.4,A,2.0,full,0.493728474232352,0.6064073226544623,0.8872602564102565,0.8153846153846154,0.7633333333333333,0.16,3041,1525,0.21311475409836064,,,,
A1_cross_rep,50.0,0.4,A,2.0,triad,0.4576323297449891,0.5835351089588379,0.8557051282051281,0.7415384615384616,0.7833333333333333,0.17,3041,1525,0.21311475409836064,,,,
A1_cross_rep,50.0,0.4,A,2.0,norr,0.4917256029673197,0.6077481840193705,0.873248717948718,0.7723076923076924,0.7916666666666666,0.165,3041,1525,0.21311475409836064,,,,
A1_cross_rep,50.0,0.4,B,0.0,full,0.4293394179101682,0.5787172011661808,0.8513556546886872,0.8236514522821576,0.6752305665349143,0.195,4000,2000,0.241,,,,
A1_cross_rep,50.0,0.4,B,0.0,triad,0.4143809849157171,0.5716510903426791,0.8298741519470366,0.7614107883817427,0.7134387351778656,0.2,4000,2000,0.241,,,,
A1_cross_rep,50.0,0.4,B,0.0,norr,0.4479293454356115,0.5943775100401606,0.8311383727223526,0.7676348547717843,0.741106719367589,0.195,4000,2000,0.241,,,,
A1_cross_rep,50.0,0.4,B,1.0,full,0.4332614246719593,0.5842696629213483,0.8508298405553654,0.8024691358024691,0.6968295904887715,0.19,4000,2000,0.243,,,,
A1_cross_rep,50.0,0.4,B,1.0,triad,0.4170565050205501,0.5747303543913714,0.8352815423672608,0.7674897119341564,0.7100396301188904,0.2,4000,2000,0.243,,,,
A1_cross_rep,50.0,0.4,B,1.0,norr,0.4171515790111148,0.574468085106383,0.8345320221145849,0.7777777777777778,0.7014531043593131,0.19,4000,2000,0.243,,,,
A1_cross_rep,50.0,0.4,B,2.0,full,0.4766385190123497,0.6151468315301392,0.8606879308014596,0.8122448979591836,0.7311258278145696,0.19,4000,2000,0.245,,,,
A1_cross_rep,50.0,0.4,B,2.0,triad,0.41244559189470115,0.5734597156398105,0.8316529260710906,0.7408163265306122,0.7264900662251655,0.205,4000,2000,0.245,,,,
A1_cross_rep,50.0,0.4,B,2.0,norr,0.44461081554157006,0.5948963317384369,0.8292586836058926,0.7612244897959184,0.7410596026490066,0.2,4000,2000,0.245,,,,
A1_cross_rep,50.0,0.6,A,0.0,full,0.5416630767374674,0.7283633247643531,0.8993593750000001,0.8854166666666666,0.6725,0.21,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,A,0.0,triad,0.4822536833729263,0.6969178082191781,0.8722877604166668,0.8479166666666667,0.64875,0.23,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,A,0.0,norr,0.4744775299155369,0.6914893617021277,0.864015625,0.8125,0.6775,0.22,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,A,1.0,full,0.5425560442428703,0.7283431455004206,0.9077369791666665,0.9020833333333333,0.655,0.21,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,A,1.0,triad,0.5124860528059174,0.7125220458553791,0.8738268229166667,0.8416666666666667,0.6875,0.235,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,A,1.0,norr,0.4872158989327136,0.6996644295302015,0.8716210937500001,0.86875,0.63125,0.225,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,A,2.0,full,0.497248904035721,0.7044334975369457,0.884578125,0.89375,0.61375,0.21,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,A,2.0,triad,0.49092319232708587,0.701048951048951,0.8552018229166667,0.8354166666666667,0.67125,0.22524999999999978,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,A,2.0,norr,0.4672904324009861,0.6878306878306878,0.8524375,0.8125,0.67,0.22,2560,1280,0.375,,,,
A1_cross_rep,50.0,0.6,B,0.0,full,0.4163535447756177,0.6540682414698162,0.8351578776041667,0.8652777777777778,0.5609375,0.225,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.6,B,0.0,triad,0.3485032728829049,0.6191247974068071,0.7936078559027777,0.7958333333333333,0.5640625,0.23524999999999863,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.6,B,0.0,norr,0.39721315353228526,0.643526170798898,0.8037261284722222,0.8111111111111111,0.60078125,0.24,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.6,B,1.0,full,0.41718132741201747,0.6545064377682404,0.8236550564236111,0.8472222222222222,0.5828125,0.225,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.6,B,1.0,triad,0.35402307235367814,0.6223175965665236,0.79984375,0.8055555555555556,0.559375,0.24,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.6,B,1.0,norr,0.382361797880195,0.6360153256704981,0.8041585286458334,0.8069444444444445,0.5890625,0.24,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.6,B,2.0,full,0.4190887147609438,0.6554445028932142,0.832600368923611,0.8652777777777778,0.5640625,0.225,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.6,B,2.0,triad,0.3626978514144438,0.6259541984732825,0.7979009331597223,0.7972222222222223,0.578125,0.24,4000,2000,0.36,,,,
A1_cross_rep,50.0,0.6,B,2.0,norr,0.3977408201727808,0.6440306681270536,0.8093614366319444,0.8166666666666667,0.5953125,0.24,4000,2000,0.36,,,,
A1_cross_rep,80.0,0.1,A,0.0,full,0.3846214089409933,0.33816425120772947,0.95003125,0.875,0.8533333333333334,0.035,3764,1880,0.0425531914893617,,,,
A1_cross_rep,80.0,0.1,A,0.0,triad,0.38288172317087993,0.3417085427135679,0.9209618055555556,0.85,0.8611111111111112,0.04,3764,1880,0.0425531914893617,,,,
A1_cross_rep,80.0,0.1,A,0.0,norr,0.41982154237562747,0.3830985915492958,0.9377986111111111,0.85,0.885,0.04,3764,1880,0.0425531914893617,,,,
A1_cross_rep,80.0,0.1,A,1.0,full,0.43595022428501395,0.3905013192612137,0.9448712737127369,0.9024390243902439,0.8761111111111111,0.035,3762,1882,0.04357066950053135,,,,
A1_cross_rep,80.0,0.1,A,1.0,triad,0.3878710653537504,0.36627906976744184,0.9062127371273712,0.7682926829268293,0.8894444444444445,0.04,3762,1882,0.04357066950053135,,,,
A1_cross_rep,80.0,0.1,A,1.0,norr,0.4099825834856006,0.3777777777777778,0.927320460704607,0.8292682926829268,0.8833333333333333,0.035,3762,1882,0.04357066950053135,,,,
A1_cross_rep,80.0,0.1,A,2.0,full,0.4351986700088802,0.3924731182795699,0.9444105691056911,0.8902439024390244,0.8794444444444445,0.035,3762,1882,0.04357066950053135,,,,
A1_cross_rep,80.0,0.1,A,2.0,triad,0.3971662594857255,0.37142857142857144,0.9030860433604335,0.7926829268292683,0.8872222222222222,0.04,3762,1882,0.04357066950053135,,,,
