"nF","ipf","total_items","rep","z_threshold","n_true_careless","n_noise","n_clean","mcc_std","mcc_f","sens_std","spec_std","sens_f","spec_f","noise_flagged_std","noise_flagged_f","mode_std","mode_f","n_pairs_std","n_pairs_f"
12,3,36,1,0.7,21,24,255,0.0745447291470949,0.132840246489501,0.571428571428571,0.573476702508961,0.761904761904762,0.498207885304659,0.5,0.833333333333333,"weighted","efa_d",630,99
12,3,36,1,0.9,21,24,255,0.0888218394229085,0.147342947692573,0.714285714285714,0.458781362007168,0.857142857142857,0.426523297491039,0.625,0.833333333333333,"weighted","efa_d",630,99
12,3,36,1,1.1,21,24,255,0.0590188303175536,0.115835019501286,0.761904761904762,0.347670250896057,0.857142857142857,0.3584229390681,0.708333333333333,0.833333333333333,"weighted","efa_d",630,99
12,3,36,1,1.3,21,24,255,0.0528590273478942,0.0923795403638942,0.80952380952381,0.283154121863799,0.857142857142857,0.308243727598566,0.833333333333333,0.833333333333333,"weighted","efa_d",630,99
12,3,36,1,1.5,21,24,255,0.0131507013370667,0.0980552781436411,0.80952380952381,0.211469534050179,0.904761904761905,0.261648745519713,0.875,0.833333333333333,"weighted","efa_d",630,99
12,3,36,1,1.7,21,24,255,-0.0429779937908786,0.0945343991393666,0.80952380952381,0.132616487455197,0.952380952380952,0.189964157706093,0.916666666666667,0.916666666666667,"weighted","efa_d",630,99
12,3,36,1,1.9,21,24,255,-0.0827409679540155,0.0768115483799806,0.80952380952381,0.0931899641577061,0.952380952380952,0.154121863799283,0.958333333333333,0.958333333333333,"weighted","efa_d",630,99
12,3,36,1,2.1,21,24,255,-0.150729848218938,0.063172475224483,0.80952380952381,0.0501792114695341,0.952380952380952,0.129032258064516,0.958333333333333,1,"weighted","efa_d",630,99
12,3,36,1,2.3,21,24,255,-0.155013351029282,0.0914505435281224,0.857142857142857,0.028673835125448,1,0.10752688172043,1,1,"weighted","efa_d",630,99
12,3,36,1,2.5,21,24,255,-0.116771155724203,0.0862795962814576,0.904761904761905,0.021505376344086,1,0.0967741935483871,1,1,"weighted","efa_d",630,99
12,3,36,1,2.7,21,24,255,-0.0820098751910124,0.0733235575106766,0.952380952380952,0.010752688172043,1,0.0716845878136201,1,1,"weighted","efa_d",630,99
12,3,36,1,2.9,21,24,255,-0.138065390978713,0.0651190966146206,0.952380952380952,0.003584229390681,1,0.0573476702508961,1,1,"weighted","efa_d",630,99
20,3,60,1,0.1,23,22,255,0.133887730379213,0.103060244870351,0.217391304347826,0.924187725631769,0.304347826086957,0.84115523465704,0.181818181818182,0.318181818181818,"weighted","efa_d",1770,228
20,3,60,1,0.3,23,22,255,0.120526813171387,0.110448755431427,0.260869565217391,0.888086642599278,0.391304347826087,0.783393501805054,0.227272727272727,0.409090909090909,"weighted","efa_d",1770,228
20,3,60,1,0.5,23,22,255,0.154875853097169,0.101847889732193,0.391304347826087,0.833935018050541,0.434782608695652,0.736462093862816,0.272727272727273,0.5,"weighted","efa_d",1770,228
20,3,60,1,0.7,23,22,255,0.101847889732193,0.108268600976767,0.434782608695652,0.736462093862816,0.521739130434783,0.671480144404332,0.318181818181818,0.681818181818182,"weighted","efa_d",1770,228
20,3,60,1,0.9,23,22,255,0.106003065895125,0.118513835819704,0.521739130434783,0.667870036101083,0.608695652173913,0.610108303249097,0.363636363636364,0.727272727272727,"weighted","efa_d",1770,228
20,3,60,1,1.1,23,22,255,0.108104016463026,0.170614189311859,0.608695652173913,0.592057761732852,0.782608695652174,0.537906137184116,0.5,0.772727272727273,"weighted","efa_d",1770,228
20,3,60,1,1.3,23,22,255,0.064564543322556,0.13657122968399,0.608695652173913,0.512635379061372,0.782608695652174,0.472924187725632,0.590909090909091,0.818181818181818,"weighted","efa_d",1770,228
20,3,60,1,1.5,23,22,255,0.0402360904938245,0.114658356558463,0.652173913043478,0.422382671480144,0.782608695652174,0.429602888086643,0.727272727272727,0.818181818181818,"weighted","efa_d",1770,228
20,3,60,1,1.7,23,22,255,0.0595099803803705,0.0929010308021301,0.739130434782609,0.368231046931408,0.782608695652174,0.386281588447653,0.772727272727273,0.818181818181818,"weighted","efa_d",1770,228
20,3,60,1,1.9,23,22,255,0.051944569466359,0.0576992819613219,0.782608695652174,0.306859205776173,0.782608695652174,0.317689530685921,0.909090909090909,0.863636363636364,"weighted","efa_d",1770,228
20,3,60,1,2.1,23,22,255,0.07392380644465,0.0758157257218514,0.869565217391304,0.249097472924188,0.869565217391304,0.252707581227437,0.954545454545455,0.909090909090909,"weighted","efa_d",1770,228
20,3,60,1,2.3,23,22,255,0.0756876870108946,0.0562890726971072,0.91304347826087,0.1985559566787,0.869565217391304,0.216606498194946,0.954545454545455,0.909090909090909,"weighted","efa_d",1770,228
20,3,60,1,2.5,23,22,255,0.0508755488315448,0.0637039054052981,0.91304347826087,0.155234657039711,0.91304347826087,0.176895306859206,1,0.954545454545455,"weighted","efa_d",1770,228
20,3,60,1,2.7,23,22,255,0.0293006888526826,0.0552626980422829,0.91304347826087,0.122743682310469,0.91304347826087,0.162454873646209,1,0.954545454545455,"weighted","efa_d",1770,228
