"nF","ipf","total_items","rep","method","z_threshold","mcc","sens","spec","noise_flagged","oracle_mcc"
8,3,24,1,"efa_d",2.9,0.0645375005825793,1,0.0539568345323741,1,0.305547236713193
8,3,24,1,"efa_d_cf",0.1,0.168342663391928,0.590909090909091,0.70863309352518,0.478260869565217,0.287485229867853
8,3,24,1,"efa_d_cf",0.3,0.166567142710999,0.636363636363636,0.669064748201439,0.478260869565217,0.287485229867853
8,3,24,1,"efa_d_cf",0.5,0.143088381306714,0.681818181818182,0.589928057553957,0.565217391304348,0.287485229867853
8,3,24,1,"efa_d_cf",0.7,0.19235449008903,0.818181818181818,0.550359712230216,0.608695652173913,0.287485229867853
8,3,24,1,"efa_d_cf",0.9,0.149865354980599,0.818181818181818,0.467625899280576,0.652173913043478,0.287485229867853
8,3,24,1,"efa_d_cf",1.1,0.123546294534879,0.818181818181818,0.413669064748201,0.695652173913043,0.287485229867853
8,3,24,1,"efa_d_cf",1.3,0.0974429563477502,0.818181818181818,0.359712230215827,0.695652173913043,0.287485229867853
8,3,24,1,"efa_d_cf",1.5,0.0969877201116267,0.863636363636364,0.305755395683453,0.826086956521739,0.287485229867853
8,3,24,1,"efa_d_cf",1.7,0.0719826053463512,0.863636363636364,0.255395683453237,0.869565217391304,0.287485229867853
8,3,24,1,"efa_d_cf",1.9,0.0488427287222449,0.863636363636364,0.212230215827338,0.956521739130435,0.287485229867853
8,3,24,1,"efa_d_cf",2.1,0.0632552070152405,0.909090909090909,0.183453237410072,1,0.287485229867853
8,3,24,1,"efa_d_cf",2.3,0.0487379999881323,0.909090909090909,0.158273381294964,1,0.287485229867853
8,3,24,1,"efa_d_cf",2.5,0.066627059145124,0.954545454545455,0.129496402877698,1,0.287485229867853
8,3,24,1,"efa_d_cf",2.7,0.0580314283442727,0.954545454545455,0.115107913669065,1,0.287485229867853
8,3,24,1,"efa_d_cf",2.9,0.0829545138051608,1,0.0863309352517986,1,0.287485229867853
8,3,24,1,"iterative",0.1,0.195909693423357,0.636363636363636,0.712230215827338,0.478260869565217,0.244472049703704
8,3,24,1,"iterative",0.3,0.155200365925975,0.636363636363636,0.651079136690647,0.478260869565217,0.244472049703704
8,3,24,1,"iterative",0.5,0.17097740494302,0.727272727272727,0.597122302158273,0.565217391304348,0.244472049703704
8,3,24,1,"iterative",0.7,0.151571102783036,0.772727272727273,0.517985611510791,0.565217391304348,0.244472049703704
8,3,24,1,"iterative",0.9,0.13926385402617,0.818181818181818,0.446043165467626,0.608695652173913,0.244472049703704
8,3,24,1,"iterative",1.1,0.114859020361492,0.818181818181818,0.39568345323741,0.695652173913043,0.244472049703704
8,3,24,1,"iterative",1.3,0.102177204600561,0.863636363636364,0.316546762589928,0.782608695652174,0.244472049703704
8,3,24,1,"iterative",1.5,0.0999286185701085,0.909090909090909,0.255395683453237,0.91304347826087,0.244472049703704
8,3,24,1,"iterative",1.7,0.0767215753931347,0.909090909090909,0.20863309352518,1,0.244472049703704
8,3,24,1,"iterative",1.9,0.0551136606067298,0.909090909090909,0.169064748201439,1,0.244472049703704
8,3,24,1,"iterative",2.1,0.0707209202700306,0.954545454545455,0.136690647482014,1,0.244472049703704
8,3,24,1,"iterative",2.3,0.0602370921457533,0.954545454545455,0.118705035971223,1,0.244472049703704
8,3,24,1,"iterative",2.5,0.0866563385468427,1,0.0935251798561151,1,0.244472049703704
8,3,24,1,"iterative",2.7,0.0810611901711108,1,0.0827338129496403,1,0.244472049703704
8,3,24,1,"iterative",2.9,0.0667712895404933,1,0.0575539568345324,1,0.244472049703704
8,3,24,1,"pf_mean",0.1,0.188262010673771,0.636363636363636,0.701438848920863,0.478260869565217,0.262886393659312
8,3,24,1,"pf_mean",0.3,0.182489133355388,0.772727272727273,0.575539568345324,0.565217391304348,0.262886393659312
8,3,24,1,"pf_mean",0.5,0.144590046867537,0.863636363636364,0.406474820143885,0.695652173913043,0.262886393659312
8,3,24,1,"pf_mean",0.7,0.0882283861293609,0.863636363636364,0.287769784172662,0.91304347826087,0.262886393659312
8,3,24,1,"pf_mean",0.9,0.067194187935686,0.909090909090909,0.190647482014388,1,0.262886393659312
8,3,24,1,"pf_mean",1.1,0.0624032430777028,0.954545454545455,0.122302158273381,1,0.262886393659312
8,3,24,1,"pf_mean",1.3,0.0810611901711108,1,0.0827338129496403,1,0.262886393659312
8,3,24,1,"pf_mean",1.5,0.0622400515561235,1,0.0503597122302158,1,0.262886393659312
