"size","rate","rep","scenario","tau","mcc_full","f1_full","mcc_norr","f1_norr","mcc_triad","f1_triad","delta_mcc","delta_f1"
64,0.2,2,"A",0.6,0.582281900176818,0.619047619047619,0.634314801207793,0.666666666666667,0.465420212936537,0.512820512820513,-0.0520329010309749,-0.0476190476190476
64,0.2,2,"B",0.4,0.535760301022617,0.59375,0.488122485837549,0.548387096774194,0.43822703738867,0.5,0.0476378151850684,0.0453629032258065
64,0.2,3,"A",0.6,0.600723485490475,0.635294117647059,0.571555127281885,0.609756097560976,0.563569712587088,0.602409638554217,0.0291683582085902,0.0255380200860833
64,0.2,3,"B",0.4,0.575695556022551,0.631578947368421,0.553237629105051,0.610687022900763,0.564519592561238,0.621212121212121,0.0224579269174996,0.0208919244676578
64,0.2,4,"A",0.6,0.534265544235915,0.575,0.514376348478589,0.556962025316456,0.627192349037894,0.658536585365854,0.0198891957573253,0.0180379746835443
64,0.2,4,"B",0.4,0.55884046131223,0.615384615384615,0.547357980303362,0.604651162790698,0.570212078778156,0.625954198473282,0.0114824810088678,0.0107334525939178
64,0.2,5,"A",0.6,0.481359862341233,0.530120481927711,0.536990876806893,0.581395348837209,0.50020304453639,0.547619047619048,-0.0556310144656602,-0.0512748669094985
64,0.2,5,"B",0.4,0.485089674898033,0.546875,0.449185452319345,0.512,0.386248611061863,0.45,0.0359042225786875,0.0348750000000001
64,0.4,1,"A",0.6,0.678621598103759,0.74025974025974,0.577462845406718,0.648275862068965,0.653117543613945,0.718954248366013,0.101158752697041,0.0919838781907748
64,0.4,1,"B",0.4,0.462619278596134,0.545454545454546,0.487653886282351,0.571428571428571,0.436485053833793,0.514018691588785,-0.0250346076862172,-0.0259740259740259
64,0.4,2,"A",0.6,0.698616387461615,0.759493670886076,0.662313901273935,0.727272727272727,0.671459975204695,0.735483870967742,0.0363024861876797,0.0322209436133488
64,0.4,2,"B",0.4,0.502991355362457,0.587719298245614,0.502991355362457,0.587719298245614,0.496618545268191,0.577777777777778,0,0
64,0.4,3,"A",0.6,0.641870329883921,0.707482993197279,0.622531756254882,0.689655172413793,0.593027297459874,0.661971830985915,0.0193385736290396,0.0178278207834858
64,0.4,3,"B",0.4,0.528562952634799,0.613333333333333,0.484457212509716,0.568807339449541,0.503563117161423,0.588235294117647,0.0441057401250832,0.0445259938837921
64,0.4,4,"A",0.6,0.677270685108563,0.74025974025974,0.621170803695461,0.689189189189189,0.658787221381442,0.723684210526316,0.0560998814131023,0.051070551070551
64,0.4,4,"B",0.4,0.536121651578337,0.620689655172414,0.499958278235672,0.584070796460177,0.505742912570826,0.586666666666667,0.0361633733426657,0.0366188587122368
64,0.4,5,"A",0.6,0.689207344758647,0.75,0.689207344758647,0.75,0.707785645052845,0.766233766233766,0,0
64,0.4,5,"B",0.4,0.563843399304839,0.646551724137931,0.533407484757319,0.613333333333333,0.50302012357988,0.585585585585586,0.03043591454752,0.0332183908045978
100,0.2,1,"A",0.6,0.701301785948493,0.727272727272727,0.677951033537706,0.708333333333333,0.685857566522525,0.714285714285714,0.0233507524107873,0.0189393939393939
