"nFactors","items_per_factor","total_items","n_respondents","pct_careless","corProp","z_threshold","is_auto_z","auto_z_value","rep_id","mcc","sensitivity","specificity","tp","tn","fp","fn","mean_z_good","mean_z_careless"
8,6,48,100,0.1,0.03,0.9,TRUE,0.890196788843219,1,0.14832127301601,0.75,0.555555555555556,9,100,80,3,1.30260338780641,0.777004738013625
8,6,48,100,0.1,0.05,0.9,TRUE,0.890196788843219,1,0.062025259624877,0.583333333333333,0.544444444444444,7,98,82,5,1.38203985633835,0.825329787362679
8,6,48,100,0.1,0.1,0.9,TRUE,0.890196788843219,1,0.0726438383095246,0.5,0.644444444444444,6,116,64,6,1.54731693918232,1.07847333113972
20,6,120,100,0.1,0.03,0.7,TRUE,0.687615839338061,1,0.0386078393423046,0.0769230769230769,0.955555555555556,1,172,8,12,3.32505155281978,1.97274599538287
20,6,120,100,0.1,0.05,0.7,TRUE,0.687615839338061,1,-0.0275000661060076,0,0.988888888888889,0,178,2,13,3.3153853625464,2.54224292272565
20,6,120,100,0.1,0.1,0.7,TRUE,0.687615839338061,1,0,0,1,0,180,0,13,3.66485058704006,2.69709381475773
30,6,180,100,0.1,0.03,1.3,TRUE,1.25333805539459,1,0.416125189288239,0.181818181818182,1,2,180,0,9,4.9425450718011,2.21581397219371
30,6,180,100,0.1,0.05,1.3,TRUE,1.25333805539459,1,0.293469592826711,0.0909090909090909,1,1,180,0,10,5.23486616397993,2.99425759692563
30,6,180,100,0.1,0.1,1.3,TRUE,1.25333805539459,1,0,0,1,0,180,0,11,5.61775738599595,3.70674020492937
8,10,80,100,0.1,0.03,0.9,TRUE,0.890196788843219,1,0.227243080187442,0.769230769230769,0.666666666666667,10,120,60,3,2.09647007057445,0.70155260239147
8,10,80,100,0.1,0.05,0.9,TRUE,0.890196788843219,1,0.209697282115902,0.692307692307692,0.7,9,126,54,4,2.27594681430948,0.788150891728287
8,10,80,100,0.1,0.1,0.9,TRUE,0.890196788843219,1,0.260895802823169,0.692307692307692,0.766666666666667,9,138,42,4,2.32587758019031,0.655047204422205
20,10,200,100,0.1,0.03,0.7,TRUE,0.687615839338061,1,0.268543077764787,0.0769230769230769,1,1,180,0,12,5.50013742034481,2.07276821070557
20,10,200,100,0.1,0.05,0.7,TRUE,0.687615839338061,1,0,0,1,0,180,0,13,5.76930712312411,3.02076071324414
20,10,200,100,0.1,0.1,0.7,TRUE,0.687615839338061,1,0,0,1,0,180,0,13,6.2293178050146,3.13040139474919
30,10,300,100,0.1,0.03,1.3,TRUE,1.25333805539459,1,0.606835045547051,0.384615384615385,1,5,180,0,8,7.33246993119175,3.39852645332914
30,10,300,100,0.1,0.05,1.3,TRUE,1.25333805539459,1,0.380770146083182,0.153846153846154,1,2,180,0,11,8.28636004416016,4.60259045917966
30,10,300,100,0.1,0.1,1.3,TRUE,1.25333805539459,1,0,0,1,0,180,0,13,9.41117609257228,5.78687752005865
8,3,24,300,0.1,0.03,0.9,TRUE,0.890196788843219,1,0.115325945746373,0.882352941176471,0.348148148148148,30,188,352,4,0.435938117137362,-0.149552279587057
8,3,24,300,0.1,0.05,0.9,TRUE,0.890196788843219,1,0.116563278571316,0.911764705882353,0.314814814814815,31,170,370,3,0.428463678636552,-0.151178184282742
8,3,24,300,0.1,0.1,0.9,TRUE,0.890196788843219,1,0.0592169918297513,0.852941176470588,0.255555555555556,29,138,402,5,0.25560815781361,-0.10759105267952
20,3,60,300,0.1,0.03,0.7,TRUE,0.687615839338061,1,0.164070845286969,0.722222222222222,0.611111111111111,26,330,210,10,1.39154421435616,0.248821372521356
20,3,60,300,0.1,0.05,0.7,TRUE,0.687615839338061,1,0.0980066781897696,0.583333333333333,0.614814814814815,21,332,208,15,1.40909680457581,0.710366268834693
20,3,60,300,0.1,0.1,0.7,TRUE,0.687615839338061,1,0.136544041771527,0.611111111111111,0.659259259259259,22,356,184,14,1.38531927547646,0.495807788858877
30,3,90,300,0.1,0.03,1.3,TRUE,1.25333805539459,1,0.272427179316759,0.941176470588235,0.625925925925926,32,338,202,2,1.85447692735467,-0.113109854681742
30,3,90,300,0.1,0.05,1.3,TRUE,1.25333805539459,1,0.272427179316759,0.941176470588235,0.625925925925926,32,338,202,2,1.85550322594704,0.122006132497167
