"";"Careless";"time_p1";"time_p2";"time_p3";"time_p4";"time_p5";"time_p6"
"300";"0";72062,5;79959;66873;69443,33;74455,5;72674
"301";"0";65861;80574,25;78854,75;75278;64377,78;74336
"302";"1";22636;13116;10823;10911;12282;10796
"303";"0";45556,67;83843,22;45022,86;50872,5;46680;64564,61
"304";"0";64774,44;82713,75;58860;57365,71;61788,75;68576,67
"305";"0";46620;54549;45381;41326;45735;55864
"306";"0";40876;38912;34280;28480;27929;31914
"307";"1";28058;31486;29717;30187;28825;33639
"308";"1";40276;43899;39624;35833;35341,11;51290
"309";"1";45365;42977,78;40832;44967,78;43255,56;46333
"310";"0";39150;49193;40313;40939;37047;43657
"311";"0";34759;33461;28763,75;27815,56;31049;32047,5
"312";"1";47774;56759;42868;44447;41079;52667,78
"313";"0";90520,6;76049;65124,55;60834,2;64364;77314,44
"314";"1";60067,78;56203,33;46686,25;51225,71;47395,56;66546,25
"315";"1";50810;54166;45315,56;51702;38429;51450
"316";"0";99052,56;69458,89;55745,56;69829;66198;80498,75
"317";"1";89684,44;93407,14;46476,67;56544,44;62661,2;63077
"318";"0";116199,65;109911,44;92230,4;99652,75;94106,3;110925,39
"319";"0";106699,4;86555,56;82833,75;69405;75526;90905,3
"320";"1";65303,33;70767,78;55905;61624;55944,44;52413
"321";"1";40930;36701,11;45453;39090;39633;52882
"322";"1";45357;47920;32482;51272,2;43297,5;42822,5
"323";"1";66748,28;58448;57434,44;42394,44;38750;56748
"324";"0";103029,86;111957,14;79658,57;100185,3;91001,56;88903,5
"325";"1";57345,56;59985;46398;51188,75;64625,44;91552,33
"326";"0";76947;98967,75;71969,25;73005,56;52501,11;80417
"327";"0";67911,11;53474;48108,89;53040;56316,67;76846,55
"328";"0";45152;44342;35574,44;40045;39776;45862
"329";"1";22237;24040;18524,44;16823,33;18902;12783,33
"330";"0";34440;38788;37411,11;39162,22;33547,78;58495,11
"331";"1";18016;15184;11149;13360;11590;11144
"332";"0";117968,11;126335,85;86522,72;90673,75;94965,15;87985,89
"333";"1";39301;42056;32440;33996;30730;46955
"334";"0";66987,45;82149,8;49066;47250;63338,55;75173,6
"335";"0";9999;11111;9128;8288;8136;8735
"336";"0";67937;60800;44282;47821;62685,55;46297,78
"337";"0";69900;66711;48396,67;67759;50085;70167
"338";"0";53197;58335;42969;44712;46846;48316,67
"339";"0";80736;92025,25;75529,75;70680,6;69512;82602,1
"340";"0";40042;41564;39044;37055;32893;43697
"341";"1";44000;43594,44;32277;37848,89;39912,22;44786,67
"342";"1";83753;91938,89;74131;85810,15;83571,45;88767
"343";"1";46280;43913,75;42894;38130;37173,33;47991
"344";"1";66537;60245;62242,22;54534,44;45321;51728
"345";"0";93033,2;113634,7;82224,8;82134,44;76894,17;88496,3
"346";"0";70014;70991,25;53164;81139,55;61754;65097
"347";"1";74591;69851;54238;62070;59288,89;72417,78
"348";"1";91278,89;110168,5;82218,55;84314,6;87537,95;102747,15
"349";"0";93782,3;68611;64225;68040;72467,25;77575
"350";"1";48607;51020;37070;41681,11;37486,67;53012,5
"351";"0";73067,78;62312,86;63961,11;56079,6;40766;49043,33
"352";"1";69139;77821;54760;59395;47363;75246
"353";"1";34641,11;32687;27164;33115;28590;36314
"354";"0";95222,45;97309,61;69428;83034,67;65125,3;95757,61
"355";"1";43813,33;37795;36886;34958;33256,67;37116,67
"356";"0";62975,89;102412,25;65406,67;57495,55;59641,25;63231,25
"357";"0";78359,45;83052;82860,6;79461,2;68021,85;86448,1
"358";"0";84682;75636;59436;64186;62991;81719
"359";"1";55047;56423,33;50302;47405;44725;60018,3
"360";"0";78263,33;78586,55;64007;75157,15;76021,65;77161
"361";"1";62016;56689;43817;53388;69669,85;43863
"362";"0";80043;78787;61294,05;65118,89;52253,3;74052
"363";"1";48881,11;61801,43;51382;49468,89;41898,75;64217,78
"364";"1";53168;55358;45310;45227,78;50961;62319
"365";"1";36431;18905;10542;18753,75;9982,22;8200
"366";"1";31778;16703;10375;10708;9481,11;9623
"367";"0";51555;48455;46326,67;48915;52748,45;48109
"368";"0";41222;49050;41816;44329;41657,9;56770
"369";"1";54843;55562;43496;46300;39495;53287
"370";"0";81839,1;97260,05;65965,75;69923,28;69433,2;83987,35
"371";"0";39028,89;42236,67;32603,75;39563,75;26293,33;43458,89
"372";"0";65628;66170;54194;62656,67;58911;63049
"373";"0";52377,78;72155,89;55166;44765;50450;57770
"374";"1";46512;53517;40639;45059;48746;57746
"375";"1";66840;78301,25;69347;70097,78;68767,78;89576,75
"376";"0";66738,75;63407;55286;55900;43600;61310
"377";"1";32354,44;29521;26103,75;23170;23404,44;25668
"378";"1";36814,44;35212;42891,11;34331,11;44790;40255
"379";"0";55787;44337;30980;31978;32828;40807
"380";"1";37283;38124;33890;32698;30685;40486
"381";"0";84953,33;85508,75;64581,11;69060;66211,33;85117,5
"382";"1";52525;63534;45010;63855;55890,22;59789,15
"383";"1";65654,44;57273,33;44968;47697,5;43790;48523,33
"384";"1";47685;53872,5;37275;32091,11;21578;26120
"385";"1";40194,44;43405;38411,75;38786,9;31376,67;51577,78
"386";"0";77644;73855;66788;59717;51343,33;64257
"387";"0";58350;66455;57643,33;57020;72735,55;63965
"388";"0";58546;45370;40813;52231,44;48905;43867
"389";"0";65564,44;62515;55046,67;63342;50577;63015
"390";"1";24944,44;32418;33309;27620;25263;27022,22
"391";"0";46846,67;40152,22;34984,5;43259,15;34920;57468
"392";"0";43972;48762;38778;38891;47424;53900
"393";"0";59388,2;67490,9;44388;45467,15;51096,67;48721,11
"394";"1";44086,67;47066,67;32011;38659,11;36646,67;47208,89
