"nF","ipf","total_items","pct","rep","mcc_std","z_std","mcc_wt","z_wt","mcc_efaD","z_efaD","nF_detected","n_pairs_D"
20,6,120,0.25,1,0.534343425513216,2.2,0.503675131759846,1.8,0.605472845466555,1.6,17,384
25,6,150,0.25,1,0.578939330459495,1.4,0.449050209369709,1.8,0.617365854685779,1.8,19,537
30,6,180,0.25,1,0.490460930629029,1.5,0.374066001040362,2.2,0.511820688953311,2.5,18,873
4,10,40,0.25,1,0.194961779539888,0.2,0.338240712601273,0.4,0.373408625020116,0.8,4,187
6,10,60,0.25,1,0.224525104684854,1,0.277608837515427,1,0.276549456516323,2.1,4,481
8,10,80,0.25,1,0.410855857306406,0.8,0.358747280999426,0.6,0.412141801173602,1.3,6,542
10,10,100,0.25,1,0.504825202271524,0.4,0.407171057912588,1.2,0.481125224324688,1.2,7,730
15,10,150,0.25,1,0.642643476946373,1.3,0.472984258358813,3,0.551020332296764,1.5,12,925
20,10,200,0.25,1,0.58751208885048,1.4,0.432612911665819,3,0.620107973102334,2.6,18,1038
25,10,250,0.25,1,0.6826906552007,3,0.485907791843059,3,0.711317156237641,2.1,16,1969
30,10,300,0.25,1,0.65446568687906,2.9,0.267716930635336,3,0.666721597385391,2.4,22,1946
4,3,12,0.05,2,0.0526315789473684,2,0.116540134854221,0.1,0.140309020141205,0.6,3,25
6,3,18,0.05,2,0.0899842541331695,1.4,0.0792084709014158,1.2,0.163439621628328,1.1,5,25
8,3,24,0.05,2,0.0845428789169647,0.1,0.0678015791310044,1.1,0.114707866935281,1.7,5,53
10,3,30,0.05,2,0.0721479105365823,1.7,0.154526070294465,0.4,0.15256656163452,0.6,6,68
15,3,45,0.05,2,0.119343531708759,1.3,0.162724434496533,0.6,0.141870076633756,0.3,9,98
20,3,60,0.05,2,0.18039774299352,1,0.355395263013535,0.5,0.239766081871345,0.7,12,134
25,3,75,0.05,2,0.139181971515208,1.4,0.199642997702045,0.6,0.334852279120605,0.6,14,189
30,3,90,0.05,2,0.284291597485152,0.1,0.144567102581515,1.2,0.128479744655331,2.1,13,317
4,6,24,0.05,2,0.146772983739028,0.2,0.220643958912456,0.5,0.187317162316339,0.5,3,88
6,6,36,0.05,2,0.101364149041172,1.3,0.190692063601023,0.3,0.218028907875925,0.1,4,157
8,6,48,0.05,2,0.124878108210893,1.1,0.135696112465378,1,0.161488629370421,1.1,7,144
10,6,60,0.05,2,0.226606250874009,0.1,0.271249165385474,1.2,0.258586386259872,0.4,8,211
15,6,90,0.05,2,0.232795211455725,0.4,0.328541230099224,0.3,0.379081043681722,0.9,11,348
20,6,120,0.05,2,0.374328144072605,0.7,0.49951243284357,0.9,0.438085827115181,0.1,14,469
25,6,150,0.05,2,0.341758462120759,0.5,0.373366522943865,0.8,0.513454261519829,0.3,17,637
30,6,180,0.05,2,0.379908149152101,1.4,0.357094915286524,1.7,0.622699849077239,0.9,19,887
4,10,40,0.05,2,0.174417984053707,0.4,0.257296038008952,0.9,0.216938008872762,0.7,3,264
6,10,60,0.05,2,0.218533188609126,0.2,0.212695960364463,1,0.187317162316339,1.5,5,365
8,10,80,0.05,2,0.201091829316162,1.2,0.228626004388036,0.1,0.228070175438596,0.1,6,523
10,10,100,0.05,2,0.268853904082916,2,0.448010768317124,0.2,0.401878111432123,0.3,7,694
15,10,150,0.05,2,0.407940517633554,0.1,0.336283267605367,2.1,0.341758462120759,0.6,12,970
20,10,200,0.05,2,0.557308404849485,2.1,0.373366522943865,2.1,0.448010768317124,0.3,14,1432
25,10,250,0.05,2,0.587255030879072,1.7,0.404208673962418,2.9,0.639021484263458,1.7,17,1892
30,10,300,0.05,2,0.49951243284357,2.5,0.357094915286524,2.9,0.443511038596483,2.2,21,2113
4,3,12,0.1,2,0.0982946374365981,1.7,0.146784140987997,0.2,0.143065845879825,1,3,21
6,3,18,0.1,2,0.125629726907402,1,0.0969857289937744,0.3,0.106785267871291,1.9,6,21
8,3,24,0.1,2,0.0461646446517095,1.5,0.139573886861732,1.2,0.151307748269834,0.1,4,63
10,3,30,0.1,2,0.0471404520791032,0.9,0.209589237745671,0.4,0.206518480528871,0.1,5,85
15,3,45,0.1,2,0.137239856798507,1.7,0.212819137078412,0.7,0.213403821999733,0.1,10,86
20,3,60,0.1,2,0.291190232422755,0.1,0.215364327857721,0.4,0.223195803924576,0.1,10,167
25,3,75,0.1,2,0.196218201352633,1.6,0.138888888888889,2.7,0.174714139453653,2,12,227
30,3,90,0.1,2,0.210098283835247,2,0.242464322484436,1.5,0.33173865226741,0.1,11,350
4,6,24,0.1,2,0.117187174885109,1.9,0.105121741534158,0.6,0.145172128870775,0.7,3,96
6,6,36,0.1,2,0.0855808451715508,1.6,0.204124145231932,0.8,0.194250831554134,1.5,4,157
8,6,48,0.1,2,0.198134741870491,0.8,0.270103912850913,0.4,0.228199501232113,0.1,6,170
10,6,60,0.1,2,0.34325501905455,0.1,0.240146241298278,1.2,0.304680260433506,1.4,9,175
15,6,90,0.1,2,0.351550582979201,0.1,0.365924344609771,0.6,0.465988402656007,0.5,11,334
20,6,120,0.1,2,0.434861528290126,1.5,0.320237457804826,1.8,0.425083341666683,1.8,15,457
25,6,150,0.1,2,0.488608259965147,0.8,0.407927113252268,1.3,0.557526862332184,1.6,18,597
30,6,180,0.1,2,0.428571428571429,0.1,0.446934639076828,2,0.535303379031311,0.7,17,938
4,10,40,0.1,2,0.150856545951751,2.3,0.264609865364461,0.5,0.296876665978351,0.9,3,271
6,10,60,0.1,2,0.171757371281364,1,0.237287127217137,1.3,0.239287548657972,0.9,5,335
8,10,80,0.1,2,0.360108697409329,1.1,0.37037037037037,0.9,0.405085480483925,0.2,8,400
10,10,100,0.1,2,0.333333333333333,0.3,0.351401090527481,0.8,0.366732303960866,1,7,719
15,10,150,0.1,2,0.557526862332184,0.4,0.444444444444444,1.8,0.518518518518518,1.6,11,1017
20,10,200,0.1,2,0.507383755461411,1.7,0.585286727709776,1.9,0.64768022585542,2.1,15,1271
25,10,250,0.1,2,0.656967256203551,2.1,0.247593784236069,2.8,0.597959044405972,2.1,17,1826
30,10,300,0.1,2,0.663746518303065,1.8,0.390566732942472,2.8,0.617578075448781,2.4,23,1887
4,3,12,0.25,2,0.0824786098842323,2,0.158824064108357,1.2,0.133207406611467,0.2,2,30
6,3,18,0.25,2,-0.0182482967150453,1.8,0.0516324460516292,0.6,0.0994969018300468,1.6,2,72
8,3,24,0.25,2,0.133949652735396,0.1,0.167731843404483,0.9,0.150487385861366,1.9,5,49
