"nFactors","total_items","rep_id","z_threshold","mcc","sensitivity","specificity","tp","tn","fp","fn"
2,16,7,2.1,0.13334911522761,0.966666666666667,0.141666666666667,58,34,206,2
2,16,7,2.3,0.114982649618953,0.966666666666667,0.120833333333333,58,29,211,2
2,16,7,2.5,0.128123702266012,0.983333333333333,0.108333333333333,59,26,214,1
2,16,7,2.7,0.14065622155408,1,0.0916666666666667,60,22,218,0
2,16,7,2.9,0.126322788159978,1,0.075,60,18,222,0
2,16,8,0.1,0.0537664034868331,0.616666666666667,0.45,37,108,132,23
2,16,8,0.3,0.0485141143387321,0.683333333333333,0.375,41,90,150,19
2,16,8,0.5,0.0292853706328711,0.733333333333333,0.3,44,72,168,16
2,16,8,0.7,0.0421533295895914,0.783333333333333,0.2625,47,63,177,13
2,16,8,0.9,0.0531947667485256,0.833333333333333,0.220833333333333,50,53,187,10
2,16,8,1.1,0.0748499325781119,0.883333333333333,0.1875,53,45,195,7
2,16,8,1.3,0.133176392418484,0.95,0.166666666666667,57,40,200,3
2,16,8,1.5,0.175780762327663,1,0.1375,60,33,207,0
2,16,8,1.7,0.169736292294645,1,0.129166666666667,60,31,209,0
2,16,8,1.9,0.166666666666667,1,0.125,60,30,210,0
2,16,8,2.1,0.157242725508288,1,0.1125,60,27,213,0
2,16,8,2.3,0.137175815292184,1,0.0875,60,21,219,0
2,16,8,2.5,0.122546594585582,1,0.0708333333333333,60,17,223,0
2,16,8,2.7,0.110624419717177,1,0.0583333333333333,60,14,226,0
2,16,8,2.9,0.106414481213069,1,0.0541666666666667,60,13,227,0
2,16,9,0.1,0.058089876074085,0.666666666666667,0.404166666666667,40,97,143,20
2,16,9,0.3,0.067345406592693,0.733333333333333,0.345833333333333,44,83,157,16
2,16,9,0.5,0.0421533295895914,0.783333333333333,0.2625,47,63,177,13
2,16,9,0.7,0.0833333333333333,0.866666666666667,0.216666666666667,52,52,188,8
2,16,9,0.9,0.0818317088384971,0.9,0.175,54,42,198,6
2,16,9,1.1,0.0651434736369881,0.916666666666667,0.1375,55,33,207,5
2,16,9,1.3,0.0917860202180195,0.95,0.120833333333333,57,29,211,3
2,16,9,1.5,0.0990046790237367,0.966666666666667,0.104166666666667,58,25,215,2
2,16,9,1.7,0.0860078077570233,0.966666666666667,0.0916666666666667,58,22,218,2
2,16,9,1.9,0.0561434614044346,0.966666666666667,0.0666666666666667,58,16,224,2
2,16,9,2.1,0.0170103454359943,0.966666666666667,0.0416666666666667,58,10,230,2
2,16,9,2.3,-0.00977017302934249,0.966666666666667,0.0291666666666667,58,7,233,2
2,16,9,2.5,-0.033121380421914,0.966666666666667,0.0208333333333333,58,5,235,2
2,16,9,2.7,-0.0145309548429774,0.983333333333333,0.0125,59,3,237,1
2,16,9,2.9,-0.061442394038928,0.983333333333333,0.00416666666666667,59,1,239,1
2,16,10,0.1,0.0676123403782813,0.65,0.433333333333333,39,104,136,21
2,16,10,0.3,0.0379725968111845,0.666666666666667,0.379166666666667,40,91,149,20
2,16,10,0.5,0.0605738307322561,0.733333333333333,0.3375,44,81,159,16
2,16,10,0.7,0.0670615514250094,0.783333333333333,0.291666666666667,47,70,170,13
2,16,10,0.9,0.0823459764134105,0.833333333333333,0.254166666666667,50,61,179,10
2,16,10,1.1,0.0509812741934582,0.85,0.2,51,48,192,9
2,16,10,1.3,0.0659556066263858,0.9,0.158333333333333,54,38,202,6
2,16,10,1.5,0.0608236549995296,0.916666666666667,0.133333333333333,55,32,208,5
2,16,10,1.7,0.0736067704518188,0.933333333333333,0.125,56,30,210,4
2,16,10,1.9,0.060229006943261,0.933333333333333,0.1125,56,27,213,4
2,16,10,2.1,0.0507608480787256,0.933333333333333,0.104166666666667,56,25,215,4
2,16,10,2.3,0.033407655239053,0.95,0.0708333333333333,57,17,223,3
2,16,10,2.5,0.0504603624764161,0.966666666666667,0.0625,58,15,225,2
2,16,10,2.7,0.0382359556450936,0.966666666666667,0.0541666666666667,58,13,227,2
2,16,10,2.9,0.0316069770620507,0.966666666666667,0.05,58,12,228,2
3,19,1,0.1,0.116666666666667,0.616666666666667,0.529166666666667,37,127,113,23
3,19,1,0.3,0.141019018704442,0.7,0.475,42,114,126,18
3,19,1,0.5,0.144720934685242,0.766666666666667,0.408333333333333,46,98,142,14
