"nFactors","total_items","z_threshold","mean_mcc","sd_mcc","mean_sens","mean_spec","n_reps"
14,92,1.3,0.490162226624922,0.0713336715112546,0.821666666666667,0.762083333333333,10
14,92,1.5,0.473970915691139,0.057825917445131,0.841666666666667,0.732083333333333,10
14,92,1.7,0.463872283065875,0.060190679351376,0.87,0.699166666666667,10
14,92,1.9,0.446553222634139,0.0689356496803779,0.891666666666667,0.66125,10
14,92,2.1,0.434625516567107,0.0693429511074941,0.913333333333333,0.627083333333333,10
14,92,2.3,0.422721372138793,0.0650295503928211,0.933333333333333,0.5925,10
14,92,2.5,0.406045783060418,0.0693992465995136,0.941666666666667,0.562083333333333,10
14,92,2.7,0.398693065931276,0.0589559048742018,0.958333333333333,0.53375,10
14,92,2.9,0.380415448489441,0.060168550842488,0.963333333333333,0.5025,10
15,95,0.1,0.446814128424053,0.0723591511962743,0.533333333333333,0.9,10
15,95,0.3,0.458080734133065,0.0673917205834203,0.575,0.88625,10
15,95,0.5,0.465410329473972,0.0766872140705145,0.626666666666667,0.864166666666667,10
15,95,0.7,0.474584180054128,0.0755527893100655,0.668333333333333,0.8475,10
15,95,0.9,0.483983311507676,0.0752776996622684,0.721666666666667,0.823333333333333,10
15,95,1.1,0.486264328838605,0.0664970209155007,0.765,0.797916666666667,10
15,95,1.3,0.487945981183032,0.0570663723345836,0.803333333333333,0.773333333333333,10
15,95,1.5,0.483210251848224,0.0516049243539937,0.84,0.7425,10
15,95,1.7,0.475992376399416,0.0558823336253057,0.863333333333333,0.717083333333333,10
15,95,1.9,0.461263846597759,0.045164823001831,0.878333333333333,0.689583333333333,10
15,95,2.1,0.442003519025401,0.041762491736071,0.893333333333333,0.655416666666667,10
15,95,2.3,0.427829769671118,0.0433895615420131,0.908333333333333,0.624583333333333,10
15,95,2.5,0.418993169695453,0.0449480753839722,0.93,0.592083333333333,10
15,95,2.7,0.41046616324046,0.0427189341790666,0.945,0.565416666666667,10
15,95,2.9,0.404899754476412,0.0336627399451114,0.963333333333333,0.5375,10
16,105,0.1,0.455101099063967,0.0883651805965597,0.481666666666667,0.9275,10
16,105,0.3,0.466381649688866,0.114027170753531,0.538333333333333,0.90875,10
16,105,0.5,0.488610637918211,0.106591595559109,0.615,0.885,10
16,105,0.7,0.482864806188585,0.106360880517287,0.648333333333333,0.864166666666667,10
16,105,0.9,0.477401809744726,0.102031607460473,0.678333333333333,0.843333333333333,10
16,105,1.1,0.47585927226211,0.0995771631889614,0.718333333333333,0.81875,10
16,105,1.3,0.485328126816649,0.0913310401088537,0.771666666666667,0.792083333333333,10
